experiment,feature,importance
R1_Water_Protein,Water_Temp_C,0.3812418044402057
R1_Water_Protein,Ammonium_mgL,0.14601902367771835
R1_Water_Protein,Water_O2_mgL,0.10711864112481134
R1_Water_Protein,Group_enc,0.06413329278075428
R1_Water_Protein,Nitrites_mgL,0.06053767134685496
R1_Water_Protein,Chlorides_mgL,0.052836957657721076
R1_Water_Protein,Feed_Type,0.051533685952458684
R1_Water_Protein,Phosphates_mgL,0.04796674551003057
R1_Water_Protein,Nitrates_mgL,0.04520657433878127
R1_Water_Protein,Water_pH,0.0434056031706636
R2_Water_Lipids,Group_enc,0.4656987802036338
R2_Water_Lipids,Feed_Type,0.42104936807445287
R2_Water_Lipids,Water_Temp_C,0.03812184185317284
R2_Water_Lipids,Phosphates_mgL,0.022425091128683957
R2_Water_Lipids,Water_O2_mgL,0.019469102484550808
R2_Water_Lipids,Nitrites_mgL,0.008298838644494162
R2_Water_Lipids,Ammonium_mgL,0.007105653854220296
R2_Water_Lipids,Chlorides_mgL,0.006102869614748147
R2_Water_Lipids,Nitrates_mgL,0.005904578514301356
R2_Water_Lipids,Water_pH,0.005823875627741674
R3_Water_Bodymass,Group_enc,0.3857910961458665
R3_Water_Bodymass,Feed_Type,0.35014706202843937
R3_Water_Bodymass,Water_Temp_C,0.05666598403291306
R3_Water_Bodymass,Chlorides_mgL,0.04007228206855423
R3_Water_Bodymass,Water_O2_mgL,0.03689775489126783
R3_Water_Bodymass,Phosphates_mgL,0.02935243844938492
R3_Water_Bodymass,Ammonium_mgL,0.02774959613629856
R3_Water_Bodymass,Nitrites_mgL,0.025427284683507613
R3_Water_Bodymass,Nitrates_mgL,0.025383244469154343
R3_Water_Bodymass,Water_pH,0.022513257094613572
R4_All_Protein,Water_Temp_C,0.24664248346914086
R4_All_Protein,Ammonium_mgL,0.09124789157955052
R4_All_Protein,fa_C 16:1,0.08667497775430932
R4_All_Protein,Water_O2_mgL,0.05402108354613424
R4_All_Protein,fa_C 20:4 n−6,0.041571872395540395
R4_All_Protein,fa_C 20:1 n−9,0.021969970508685033
R4_All_Protein,fa_C 14:0,0.020395293859251224
R4_All_Protein,fa_C 20:3 n−3,0.020165796729638755
R4_All_Protein,Nitrites_mgL,0.01099423366714533
R4_All_Protein,chem_Ash (%)_day6,0.009889759979256747
R5_All_Lipids,Feed_Type,0.17018027876539243
R5_All_Lipids,fa_C 22:0,0.16276444685083105
R5_All_Lipids,Group_enc,0.14399344119206411
R5_All_Lipids,fa_C 20:1 n−9,0.13599109243899346
R5_All_Lipids,fa_C 14:0,0.13572070129572686
R5_All_Lipids,fa_C 20:3 n−3,0.03589937496150838
R5_All_Lipids,fa_C 18:3 n−3,0.03566536728571796
R5_All_Lipids,Water_Temp_C,0.030807243495139115
R5_All_Lipids,fa_C 20:4 n−6,0.027591937011279044
R5_All_Lipids,fa_C 16:0,0.026808302432055557
C1_Water_Group,Feed_Type,0.43593038944802265
C1_Water_Group,Water_Temp_C,0.26753908497423495
C1_Water_Group,Chlorides_mgL,0.12552896371969455
C1_Water_Group,Water_O2_mgL,0.0588647467194088
C1_Water_Group,Phosphates_mgL,0.04957009078120333
C1_Water_Group,Nitrites_mgL,0.02542218079528225
C1_Water_Group,Nitrates_mgL,0.02012282245734411
C1_Water_Group,Ammonium_mgL,0.01606693634636114
C1_Water_Group,Water_pH,0.0009547847584482733
C2_FA_Group,fa_C 14:0,0.1606501360982935
C2_FA_Group,fa_C 16:0,0.14614961390247128
C2_FA_Group,fa_C 20:1 n−9,0.12052907763849058
C2_FA_Group,fa_C 20:4 n−6,0.11184608501582638
C2_FA_Group,fa_C 18:3 n−3,0.11089539930876309
C2_FA_Group,fa_C 22:0,0.09547137805722436
C2_FA_Group,fa_C 20:3 n−3,0.07810237111106468
C2_FA_Group,fa_C 18:2 n−6,0.055196094151194905
C2_FA_Group,fa_C 16:1,0.048047646933083415
C2_FA_Group,fa_PUFA/SFA,0.03726351244211962
C3_All_Group,fa_C 14:0,0.09763009180940992
C3_All_Group,fa_C 20:3 n−3,0.09685822938012742
C3_All_Group,Feed_Type,0.09606398960663831
C3_All_Group,fa_C 22:0,0.0880675086742304
C3_All_Group,fa_C 16:0,0.08413489676341615
C3_All_Group,fa_C 18:3 n−3,0.07369808863472786
C3_All_Group,fa_C 20:1 n−9,0.0627044460161878
C3_All_Group,fa_C 20:4 n−6,0.05785845145981586
C3_All_Group,Group_enc,0.05579648966868203
C3_All_Group,fa_C 18:2 n−6,0.04593546214384642
